digital,digitalisasi,digitalisation,digitalization,app,apps,apple,b2b,digital on-boarding,digital onboarding,digital on boarding,e-commerce,fintech,google,internet banking,marketplace,mobile,multi-channel,multi channel,omni-channel,omni channel,online,open banking,platform,play store,user experience,ux,video banking,video on-boarding,video onboarding,video on boarding,virtual banking,virtual assistant,analytic,analytics,artificial intelligence,ai,big data,data governance,data management,manajemen data,pengelolaan data,data pribadi,data processing,data protection,perlindungan data,kecerdasan buatan,machine learning,ml,pembelajaran mesin,pemelajaran mesin,personal data,predictive,investasi digital,investasi teknologi,investasi it,agile,automasi,automation,otomasi,otomatisasi,credit score,credit scoring,data scientist,digital culture,budaya digital,digital mindset,digital talent,talenta digital,efisiensi,efficiency,fraud,inovasi,innovation,scrum,robo,robot,robotic,api,application programming,programming interface,augmented reality,ar,authentication,biometric,blockchain,cardless,tanpa kartu,cloud,contactless,data science,digital signature,tanda tangan digital,distributed ledger,infrastruktur digital,digital infrastructure,internet of things,internet-of-things,iot,qr,qris,regulatory technology,regtech,teknologi,technology,virtual reality,vr,year,filename
272,32,0,2,2,0,0,5,0,0,0,0,13,1,16,2,41,0,0,0,0,64,1,15,1,4,0,0,0,0,0,0,3,2,27,7,8,27,2,2,10,1,4,0,0,0,1,8,2,1,0,0,0,0,0,0,16,1,0,12,0,0,0,2,1,1,2,0,0,41,2,121,31,13,0,0,0,0,17,1,1,0,60,1,1,5,1,0,4,0,0,0,0,0,0,0,0,0,1,12,1,0,0,221,17,0,0,2018,BBNI.pdf
18,5,0,2,0,0,0,0,0,0,0,0,1,0,4,0,4,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,6,62,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,2018,BBYB.pdf
93,318,0,319,6,8,2,1,0,0,0,0,8,4,11,7,41,0,1,0,0,77,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,16,45,13,12,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,105,110,0,0,2018,BRIS.pdf
97,8,0,3,0,4,0,0,0,0,0,0,6,0,53,2,99,0,0,0,0,45,0,21,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,28,186,16,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,185,161,0,0,2018,BJTM.pdf
57,7,0,7,9,4,0,0,0,0,0,0,18,0,8,0,24,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,21,25,70,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,60,0,0,2018,BEKS.pdf
31,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,11,0,22,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,15,1,0,0,0,0,0,0,0,0,10,0,69,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7,0,0,2018,BTPS.pdf
107,7,0,4,6,10,0,0,0,0,0,0,38,0,34,2,69,0,0,0,0,56,0,12,0,0,0,0,0,0,0,0,0,0,5,0,29,1,2,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,6,1,5,0,0,0,0,0,0,0,0,29,30,130,14,19,0,0,0,0,6,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,197,231,0,0,2018,BJBR.pdf
8,1,0,1,0,0,0,0,0,0,0,0,6,0,11,0,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,57,0,0,2018,BNBA.pdf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,10,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,2018,BSWD.pdf
8,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,0,2018,MCOR.pdf
265,18,0,7,6,5,0,0,0,0,0,0,40,2,13,1,59,0,2,0,0,80,1,27,0,2,0,0,0,0,0,0,0,1,0,0,24,7,0,0,0,0,1,0,1,0,0,4,0,0,0,2,0,2,2,0,20,0,1,3,0,0,3,0,0,0,0,0,0,28,31,257,53,35,0,0,1,1,14,2,2,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,144,137,0,0,2018,BNLI.pdf
76,15,0,1,0,0,0,5,0,0,0,0,6,0,4,0,8,0,0,0,4,8,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,51,0,202,11,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,4,0,0,2018,BBKP.pdf
2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,17,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,14,41,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,125,0,0,2018,PNBS.pdf
98,2,0,1,0,0,0,0,0,0,0,0,4,2,17,1,16,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,7,94,3,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35,59,0,0,2018,BINA.pdf
64,2,0,0,1,2,0,0,0,0,0,0,1,0,19,0,25,0,0,0,0,32,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,2,0,0,3,0,0,0,0,0,0,20,20,60,11,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,112,109,0,0,2018,AGRO.pdf
2,1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,2018,BANK.pdf
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,2018,BBHI.pdf
24,0,0,0,2,0,0,0,0,0,0,0,10,0,16,0,22,0,0,0,0,34,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,17,74,7,11,0,0,0,0,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,39,0,0,2018,BGTG.pdf
70,2,0,1,2,0,0,0,0,0,0,0,8,0,32,0,20,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,7,31,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,74,81,0,0,2018,NOBU.pdf
