,digital,digitalisasi,digitalisation,digitalization,app,apps,apple,b2b,digital on-boarding,digital onboarding,digital on boarding,e-commerce,fintech,google,internet banking,marketplace,mobile,multi-channel,multi channel,omni-channel,omni channel,online,open banking,platform,play store,user experience,ux,video banking,video on-boarding,video onboarding,video on boarding,virtual banking,virtual assistant,analytic,analytics,artificial intelligence,ai,big data,data governance,data management,manajemen data,pengelolaan data,data pribadi,data processing,data protection,perlindungan data,kecerdasan buatan,machine learning,ml,pembelajaran mesin,pemelajaran mesin,personal data,predictive,investasi digital,investasi teknologi,investasi it,agile,automasi,automation,otomasi,otomatisasi,credit score,credit scoring,data scientist,digital culture,budaya digital,digital mindset,digital talent,talenta digital,efisiensi,efficiency,fraud,inovasi,innovation,scrum,robo,robot,robotic,api,application programming,programming interface,augmented reality,ar,authentication,biometric,blockchain,cardless,tanpa kartu,cloud,contactless,data science,digital signature,tanda tangan digital,distributed ledger,infrastruktur digital,digital infrastructure,internet of things,internet-of-things,iot,qr,qris,regulatory technology,regtech,teknologi,technology,virtual reality,vr,filename,year
19,22,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0,28,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,20,22,154,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103,181,0,0,BCIC.pdf,2018
20,93,18,11,17,0,2,0,0,0,0,0,0,5,0,11,2,73,0,0,0,0,45,1,13,0,0,0,0,0,0,0,0,0,20,18,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,19,13,135,17,6,16,0,0,0,7,2,2,0,2,0,0,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,85,0,0,NISP.pdf,2018
21,187,24,0,1,1,8,0,2,0,0,0,0,0,2,20,1,69,0,6,0,0,29,0,16,0,0,0,4,0,0,0,0,6,5,3,0,3,1,0,4,0,2,2,0,0,0,0,6,0,0,0,0,2,0,1,0,2,0,2,10,0,0,0,1,0,0,0,0,0,1,0,101,32,19,1,0,0,0,15,8,6,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,219,16,0,0,BBCA.pdf,2018
22,127,14,0,0,2,1,0,0,0,0,0,0,10,0,6,2,20,0,0,0,3,52,0,22,1,0,0,0,0,0,0,0,0,1,16,1,55,7,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,0,5,9,8,0,0,1,0,0,0,0,0,29,0,94,12,3,0,0,0,3,17,3,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,14,0,0,BDMN.pdf,2018
23,105,8,0,0,4,0,0,0,0,0,0,0,1,1,3,0,19,0,0,0,1,8,0,29,0,0,0,0,0,0,0,0,0,2,12,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,15,0,68,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,54,12,0,0,BTPN.pdf,2018
24,34,0,0,0,0,0,0,0,0,0,0,0,8,0,11,2,12,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,45,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,62,0,0,BBMD.pdf,2018
25,147,12,0,0,0,0,0,0,0,0,0,0,17,0,13,1,22,0,0,0,1,50,0,5,0,1,0,0,0,0,0,0,0,1,13,1,4,17,0,4,2,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,13,0,0,5,1,0,9,0,0,0,1,0,0,39,6,102,31,9,0,0,0,1,13,1,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,499,58,0,0,BMRI.pdf,2018
26,31,3,0,3,7,6,0,0,0,0,0,0,7,0,25,0,26,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,19,17,211,6,2,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,92,118,0,0,BVIC.pdf,2018
27,61,2,0,1,2,0,2,2,0,0,0,0,2,4,0,0,5,0,0,0,0,3,0,9,4,0,2,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,4,10,4,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,49,0,0,AMAR.pdf,2018
28,272,32,0,2,2,0,0,5,0,0,0,0,13,1,18,2,41,0,0,0,0,68,1,15,1,4,0,0,0,0,0,0,3,2,27,7,8,27,2,2,10,1,4,0,0,0,1,8,2,1,0,0,0,0,0,0,16,1,0,12,0,0,0,2,1,1,2,0,0,41,6,127,31,13,0,0,0,0,17,1,1,0,60,1,1,5,1,0,4,0,0,0,0,0,0,0,0,0,1,12,1,0,0,222,22,0,0,BBNI.pdf,2018
